IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.77.222,2096,2096,true,SIN,Asia Pacific,Singapore,230,0.64
8.219.78.188,2086,2086,false,SIN,Asia Pacific,Singapore,215,0.63
47.237.11.182,2086,2086,false,SIN,Asia Pacific,Singapore,224,0.62
8.219.210.57,2095,2095,false,SIN,Asia Pacific,Singapore,232,0.61
47.236.158.158,8443,8443,true,SIN,Asia Pacific,Singapore,230,0.60
47.236.174.206,2053,2053,true,SIN,Asia Pacific,Singapore,237,0.58
8.222.164.209,2082,2082,false,SIN,Asia Pacific,Singapore,223,0.58
47.236.144.156,2052,2052,false,SIN,Asia Pacific,Singapore,241,0.56
47.236.146.249,8443,8443,true,SIN,Asia Pacific,Singapore,225,0.54
18.138.232.152,2053,443,true,SIN,Asia Pacific,Singapore,83,0.53
47.237.95.13,80,80,false,SIN,Asia Pacific,Singapore,232,0.52
8.219.210.57,80,80,false,SIN,Asia Pacific,Singapore,224,0.51
156.251.183.226,34147,443,true,SIN,Asia Pacific,Singapore,93,0.50
47.236.144.156,80,80,false,SIN,Asia Pacific,Singapore,233,0.49
47.236.118.216,2082,2082,false,SIN,Asia Pacific,Singapore,218,0.49
8.219.177.205,2083,2083,true,SIN,Asia Pacific,Singapore,230,0.49
47.237.0.31,8880,8880,false,SIN,Asia Pacific,Singapore,224,0.46
47.236.145.85,8080,8080,false,SIN,Asia Pacific,Singapore,211,0.43
47.236.149.107,80,80,false,SIN,Asia Pacific,Singapore,229,0.42
47.236.168.17,80,80,false,SIN,Asia Pacific,Singapore,248,0.42
47.236.253.41,8880,8880,false,SIN,Asia Pacific,Singapore,219,0.42
47.237.8.82,2082,2082,false,SIN,Asia Pacific,Singapore,218,0.41
8.219.124.227,2052,2052,false,SIN,Asia Pacific,Singapore,237,0.40
8.219.107.135,2053,2053,true,SIN,Asia Pacific,Singapore,224,0.38
8.219.6.150,8443,8443,true,SIN,Asia Pacific,Singapore,231,0.38
8.219.122.55,2087,2087,true,SIN,Asia Pacific,Singapore,232,0.38
47.236.169.141,2095,2095,false,SIN,Asia Pacific,Singapore,229,0.37
8.219.83.201,2082,2082,false,SIN,Asia Pacific,Singapore,221,0.37
47.236.123.133,8880,8880,false,SIN,Asia Pacific,Singapore,225,0.37
47.236.144.156,8080,8080,false,SIN,Asia Pacific,Singapore,223,0.35
47.237.11.182,8880,8880,false,SIN,Asia Pacific,Singapore,227,0.34
47.236.172.95,80,80,false,SIN,Asia Pacific,Singapore,219,0.33
8.222.136.247,8880,8880,false,SIN,Asia Pacific,Singapore,232,0.31
47.236.104.11,2095,2095,false,SIN,Asia Pacific,Singapore,226,0.31
47.237.14.220,2095,2095,false,SIN,Asia Pacific,Singapore,241,0.30
47.237.95.13,2096,2096,true,SIN,Asia Pacific,Singapore,224,0.30
47.236.254.120,2095,2095,false,SIN,Asia Pacific,Singapore,218,0.30
47.236.9.152,2087,2087,true,SIN,Asia Pacific,Singapore,224,0.29
47.236.170.225,2096,2096,true,SIN,Asia Pacific,Singapore,226,0.28
47.237.95.146,8880,8880,false,SIN,Asia Pacific,Singapore,221,0.28
47.237.86.185,2087,2087,true,SIN,Asia Pacific,Singapore,232,0.27
8.219.6.150,8880,8880,false,SIN,Asia Pacific,Singapore,227,0.27
8.219.122.55,8443,8443,true,SIN,Asia Pacific,Singapore,238,0.27
47.237.84.173,2082,2082,false,SIN,Asia Pacific,Singapore,229,0.25
47.236.10.182,80,80,false,SIN,Asia Pacific,Singapore,226,0.25
8.222.208.38,2095,2095,false,SIN,Asia Pacific,Singapore,224,0.25
47.236.166.131,2086,2086,false,SIN,Asia Pacific,Singapore,219,0.24
8.219.177.205,2053,2053,true,SIN,Asia Pacific,Singapore,215,0.24
8.222.164.209,80,80,false,SIN,Asia Pacific,Singapore,215,0.23
47.236.80.110,2087,2087,true,SIN,Asia Pacific,Singapore,231,0.21
